match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version,home_fd,away_fd
3895302,2024-04-14,17:30:00.000,5,0,available,available,2024-05-10T16:57:53.017895,2024-05-10T17:03:59.613154,29,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,176,Werder Bremen,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,234,Harm Osmers,85,Germany,Xabier Alonso Olano,Ole Werner,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,4057,Ole Werner,,1988-05-04,85,Germany,1.1.0,2,2,Leverkusen,Werder Bremen
3895292,2024-04-06,15:30:00.000,0,1,available,available,2024-05-12T21:04:50.061716,2024-05-12T21:08:37.897296,28,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,190,Union Berlin,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,560,Stadion An der Alten Försterei,85,Germany,235,Benjamin Brand,85,Germany,Nenad Bjelica,Xabier Alonso Olano,176,Nenad Bjelica,,1971-08-20,56,Croatia,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,Union Berlin,Leverkusen
3895333,2024-05-05,18:30:00.000,1,5,available,available,2024-05-14T16:23:06.325967,2024-05-14T16:32:13.483516,32,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,184,Eintracht Frankfurt,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,116458,Deutsche Bank Park,85,Germany,237,Christian Dingert,85,Germany,Dino Toppmöller,Xabier Alonso Olano,704,Dino Toppmöller,,1980-11-23,85,Germany,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,Ein Frankfurt,Leverkusen
3895340,2024-05-12,20:30:00.000,0,5,available,available,2024-05-14T10:09:25.875345,2024-05-14T16:46:08.459843,33,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,868,Bochum,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,550,Vonovia Ruhrstadion,85,Germany,235,Benjamin Brand,85,Germany,Heiko Butscher,Xabier Alonso Olano,4849,Heiko Butscher,,1980-07-28,85,Germany,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,Bochum,Leverkusen
3895348,2024-05-18,16:30:00.000,2,1,available,available,2024-05-20T10:11:27.857660,2024-05-20T10:33:09.140760,34,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,172,Augsburg,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,837,Matthias Jöllenbeck,85,Germany,Xabier Alonso Olano,Jess Christian Thorup,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,13,Jess Christian Thorup,,1970-02-21,61,Denmark,1.1.0,2,2,Leverkusen,Augsburg
3895286,2024-03-30,16:30:00.000,2,1,available,available,2024-05-08T03:31:41.834889,2024-05-08T03:36:21.320065,27,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,175,Hoffenheim,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,231,Deniz Aytekin,85,Germany,Xabier Alonso Olano,Pellegrino Matarazzo,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,2938,Pellegrino Matarazzo,,1977-11-28,241,United States of America,1.1.0,2,2,Leverkusen,Hoffenheim
3895220,2024-02-03,16:30:00.000,0,2,available,available,2024-05-08T01:00:41.665143,2024-05-08T01:01:15.978489,20,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,872,Darmstadt 98,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,548,Merck-Stadion am Böllenfalltor,85,Germany,461,Tobias Reichel,85,Germany,Torsten Lieberknecht,Xabier Alonso Olano,100,Torsten Lieberknecht,,1973-08-01,85,Germany,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,Darmstadt 98,Leverkusen
3895250,2024-02-23,21:30:00.000,2,1,available,available,2024-05-08T00:36:36.554875,2024-05-08T00:38:33.864825,23,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,177,FSV Mainz 05,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,499,Timo Gerach,85,Germany,Xabier Alonso Olano,Bo Henriksen,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,310,Bo Henriksen,,1975-02-07,61,Denmark,1.1.0,2,2,Leverkusen,FSV Mainz 05
3895266,2024-03-10,20:30:00.000,2,0,available,available,2024-04-28T10:25:37.774694,2024-04-28T10:29:53.455142,25,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,179,Wolfsburg,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,225,Daniel Siebert,85,Germany,Xabier Alonso Olano,Niko Kovač,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,374,Niko Kovač,,1971-10-15,56,Croatia,1.1.0,2,2,Leverkusen,Wolfsburg
3895275,2024-03-17,16:30:00.000,2,3,available,available,2024-04-19T22:38:04.382030,2024-04-19T22:39:18.935666,26,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,183,Freiburg,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,1000498,Europa-Park Stadion,85,Germany,234,Harm Osmers,85,Germany,Christian Streich,Xabier Alonso Olano,47,Christian Streich,,1965-06-11,85,Germany,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,Freiburg,Leverkusen
3895180,2023-12-17,18:30:00.000,3,0,available,available,2024-03-31T20:55:24.255918,2024-03-31T21:08:00.046656,15,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,184,Eintracht Frankfurt,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,237,Christian Dingert,85,Germany,Xabier Alonso Olano,Dino Toppmöller,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,704,Dino Toppmöller,,1980-11-23,85,Germany,1.1.0,2,2,Leverkusen,Ein Frankfurt
3895134,2023-11-04,16:30:00.000,2,3,available,available,2024-02-07T13:46:18.768485,2024-02-07T13:51:13.679007,10,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,175,Hoffenheim,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,4541,PreZero Arena,85,Germany,243,Frank Willenborg,85,Germany,Pellegrino Matarazzo,Xabier Alonso Olano,2938,Pellegrino Matarazzo,,1977-11-28,241,United States of America,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,Hoffenheim,Leverkusen
3895121,2023-10-29,18:30:00.000,2,1,available,available,2023-11-20T00:14:35.480458,2023-11-22T05:11:07.603363,9,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,183,Freiburg,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,225,Daniel Siebert,85,Germany,Xabier Alonso Olano,Christian Streich,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,47,Christian Streich,,1965-06-11,85,Germany,1.1.0,2,2,Leverkusen,Freiburg
3895107,2023-10-08,16:30:00.000,3,0,available,available,2023-12-16T16:55:06.121615,2024-01-06T10:35:32.456060,7,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,186,FC Köln,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,241,Felix Zwayer,85,Germany,Xabier Alonso Olano,Steffen Baumgart,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,104,Steffen Baumgart,,1972-01-05,85,Germany,1.1.0,2,2,Leverkusen,FC Köln
3895074,2023-09-15,21:30:00.000,2,2,available,available,2024-01-26T03:48:06.638612,2024-01-26T03:49:07.013902,4,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,169,Bayern Munich,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,4867,Allianz Arena,85,Germany,405,Daniel Schlager,85,Germany,Thomas Tuchel,Xabier Alonso Olano,279,Thomas Tuchel,,1973-08-29,85,Germany,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,Bayern Munich,Leverkusen
3895139,2023-11-12,16:30:00.000,4,0,available,available,2024-01-30T20:40:45.394341,2024-01-30T20:45:30.579373,11,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,190,Union Berlin,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,499,Timo Gerach,85,Germany,Xabier Alonso Olano,Urs Fischer,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,105,Urs Fischer,,1966-02-20,221,Switzerland,1.1.0,2,2,Leverkusen,Union Berlin
3895086,2023-09-24,16:30:00.000,4,1,available,available,2023-11-06T06:22:39.809526,2024-01-01T09:52:59.525330,5,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,201,FC Heidenheim,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,237,Christian Dingert,85,Germany,Xabier Alonso Olano,Frank Schmidt,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,108,Frank Schmidt,,1974-01-03,85,Germany,1.1.0,2,2,Leverkusen,FC Heidenheim
3895320,2024-04-27,19:30:00.000,2,2,available,available,2024-05-13T17:30:42.626289,2024-05-13T17:38:39.789677,31,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,904,Bayer Leverkusen,male,,85,Germany,174,VfB Stuttgart,male,,85,Germany,1,Regular Season,377,BayArena,85,Germany,241,Felix Zwayer,85,Germany,Xabier Alonso Olano,Sebastian Hoeneß,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,5213,Sebastian Hoeneß,,1982-05-12,85,Germany,1.1.0,2,2,Leverkusen,Stuttgart
3895309,2024-04-21,17:30:00.000,1,1,available,available,2024-05-10T14:35:19.321055,2024-05-10T14:39:35.216574,30,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,180,Borussia Dortmund,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,373,Signal-Iduna-Park,85,Germany,225,Daniel Siebert,85,Germany,Edin Terzić,Xabier Alonso Olano,5531,Edin Terzić,,1982-10-30,85,Germany,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,Dortmund,Leverkusen
3895258,2024-03-03,16:30:00.000,0,2,available,available,2024-05-08T03:29:58.790941,2024-05-08T03:35:25.921876,24,9,Germany,1. Bundesliga,Germany - 1. Bundesliga,281,2023/2024,186,FC Köln,male,,85,Germany,904,Bayer Leverkusen,male,,85,Germany,1,Regular Season,363,RheinEnergieStadion,85,Germany,229,Tobias Stieler,85,Germany,Timo Schultz,Xabier Alonso Olano,5220,Timo Schultz,,1977-08-26,85,Germany,1000310,Xabier Alonso Olano,Xabi Alonso,1981-11-25,214,Spain,1.1.0,2,2,FC Köln,Leverkusen
