match_id,home_fd,away_fd,match_date,home_xg,away_xg
3895302,Leverkusen,Werder Bremen,2024-04-14,3.004,0.684
3895292,Union Berlin,Leverkusen,2024-04-06,0.545,2.564
3895333,Ein Frankfurt,Leverkusen,2024-05-05,1.442,2.586
3895340,Bochum,Leverkusen,2024-05-12,0.314,4.302
3895348,Leverkusen,Augsburg,2024-05-18,2.165,0.78
3895286,Leverkusen,Hoffenheim,2024-03-30,2.77,0.649
3895220,Darmstadt 98,Leverkusen,2024-02-03,0.771,1.952
3895250,Leverkusen,FSV Mainz 05,2024-02-23,1.113,1.141
3895266,Leverkusen,Wolfsburg,2024-03-10,1.786,0.227
3895275,Freiburg,Leverkusen,2024-03-17,0.931,2.596
3895180,Leverkusen,Ein Frankfurt,2023-12-17,2.753,0.185
3895134,Hoffenheim,Leverkusen,2023-11-04,1.484,1.274
3895121,Leverkusen,Freiburg,2023-10-29,1.425,0.768
3895107,Leverkusen,FC Köln,2023-10-08,2.942,1.19
3895074,Bayern Munich,Leverkusen,2023-09-15,2.21,2.218
3895139,Leverkusen,Union Berlin,2023-11-12,1.883,0.039
3895086,Leverkusen,FC Heidenheim,2023-09-24,3.708,0.327
3895320,Leverkusen,Stuttgart,2024-04-27,1.653,1.799
3895309,Dortmund,Leverkusen,2024-04-21,0.555,1.364
3895258,FC Köln,Leverkusen,2024-03-03,0.686,1.293
3895244,FC Heidenheim,Leverkusen,2024-02-17,0.457,1.819
3895232,Leverkusen,Bayern Munich,2024-02-10,1.034,0.618
3895210,Leverkusen,M'gladbach,2024-01-27,2.561,0.184
3895202,RB Leipzig,Leverkusen,2024-01-20,1.087,1.881
3895194,Augsburg,Leverkusen,2024-01-13,0.316,1.576
3895182,Leverkusen,Bochum,2023-12-20,3.401,0.288
3895167,Stuttgart,Leverkusen,2023-12-10,2.404,1.532
3895158,Leverkusen,Dortmund,2023-12-03,2.145,0.808
3895153,Werder Bremen,Leverkusen,2023-11-25,0.186,1.091
3895113,Wolfsburg,Leverkusen,2023-10-21,1.198,1.963
3895095,FSV Mainz 05,Leverkusen,2023-09-30,0.435,0.794
3895067,Leverkusen,Darmstadt 98,2023-09-02,3.305,0.579
3895060,M'gladbach,Leverkusen,2023-08-26,0.799,2.72
3895052,Leverkusen,RB Leipzig,2023-08-19,1.523,1.722
